"#スペカナンバー","スペカ名","タイプ
0 スペルカード
1 スキルカード
2 システムカード
255　敵専用","体力"
0,"突风「猿田彦的引导」",255,3500,,3600,
1,"突风「猿田彦的引导」",255,4000,,3600,
2,"突风「猿田彦的引导」",255,4500,,3600,
3,"突风「猿田彦的引导」",255,5000,,3600,
4,"旋符「飘妖扇」",255,3500,,3600,
5,"旋符「飘妖扇」",255,4000,,3600,
6,"旋符「飘妖扇」",255,4500,,3600,
7,"旋符「飘妖扇」",255,5000,,3600,
8,"旋风「鸟居暴风」",255,3500,,3600,
9,"旋风「鸟居暴风」",255,4000,,3600,
10,"旋风「鸟居暴风」",255,4500,,3600,
11,"旋风「鸟居暴风」",255,5000,,3600,
12,"「幻想风靡」",255,3500,,3600,
13,"「幻想风靡」",255,4000,,3600,
14,"「幻想风靡」",255,4500,,3600,
15,"「幻想风靡」",255,5000,,3600,
248,"EASY",255,5000,,3600,
249,"NORMAL",255,5500,,3600,
250,"HARD",255,6000,,3600,
251,"LUNATIC",255,6500,,3600,
252,"EASY",255,7000,,3600,
253,"NORMAL",255,8000,,3600,
254,"HARD",255,9000,,3600,
255,"LUNATIC",255,10000,,3600,
